,Algorithm,Samples,Score,Iterations
65,MIMIC,10,700.0305182482882,1209.0
66,MIMIC,10,700.0305182482882,1410.0
67,MIMIC,10,700.0305182482882,1611.0
68,MIMIC,10,700.0305182482882,1812.0
69,MIMIC,10,700.0305182482882,2013.0
70,MIMIC,10,700.0305182482882,2214.0
71,MIMIC,10,700.0305182482882,2415.0
72,MIMIC,10,700.0305182482882,2616.0
73,MIMIC,10,700.0305182482882,2817.0
74,MIMIC,10,700.0305182482882,3018.0
75,SIMANNEAL,10,449.435758777583,1.0
76,SIMANNEAL,10,461.96626871648283,3.0
77,SIMANNEAL,10,461.96626871648283,4.0
78,SIMANNEAL,10,461.96626871648283,5.0
79,SIMANNEAL,10,482.7201670409526,7.0
80,SIMANNEAL,10,482.7201670409526,8.0
81,SIMANNEAL,10,541.3160434714159,10.0
82,SIMANNEAL,10,541.3160434714159,11.0
83,SIMANNEAL,10,541.3160434714159,12.0
84,SIMANNEAL,10,541.3160434714159,13.0
85,SIMANNEAL,10,541.3160434714159,14.0
86,SIMANNEAL,10,541.3160434714159,15.0
87,SIMANNEAL,10,556.1841092913714,17.0
88,SIMANNEAL,10,556.1841092913714,18.0
89,SIMANNEAL,10,556.1841092913714,19.0
90,SIMANNEAL,10,556.1841092913714,20.0
91,SIMANNEAL,10,556.1841092913714,21.0
92,SIMANNEAL,10,581.8691426003596,23.0
93,SIMANNEAL,10,632.1078764936125,25.0
94,SIMANNEAL,10,632.1078764936125,26.0
95,SIMANNEAL,10,632.1078764936125,27.0
96,SIMANNEAL,10,632.1078764936125,28.0
97,SIMANNEAL,10,632.1078764936125,29.0
98,SIMANNEAL,10,638.9232912964085,31.0
99,SIMANNEAL,10,638.9232912964085,32.0
100,SIMANNEAL,10,638.9232912964085,33.0
101,SIMANNEAL,10,638.9232912964085,34.0
102,SIMANNEAL,10,638.9232912964085,35.0
103,SIMANNEAL,10,638.9232912964085,36.0
104,SIMANNEAL,10,638.9232912964085,37.0
105,SIMANNEAL,10,638.9232912964085,38.0
106,SIMANNEAL,10,638.9232912964085,39.0
107,SIMANNEAL,10,638.9232912964085,40.0
108,SIMANNEAL,10,638.9232912964085,41.0
109,RHC,20,1104.4463273447748,2.0
110,RHC,20,1104.4463273447748,3.0
111,RHC,20,1151.2377699486665,5.0
112,RHC,20,1151.2377699486665,6.0
113,RHC,20,1151.2377699486665,7.0
114,RHC,20,1165.2098459037438,9.0
115,RHC,20,1179.4406230153131,11.0
116,RHC,20,1179.4406230153131,12.0
117,RHC,20,1179.4406230153131,13.0
118,RHC,20,1179.4406230153131,14.0
119,RHC,20,1179.4406230153131,15.0
120,RHC,20,1195.0859019766926,17.0
121,RHC,20,1195.0859019766926,18.0
122,RHC,20,1233.3065186791405,20.0
123,RHC,20,1233.3065186791405,21.0
124,RHC,20,1299.8703191508673,23.0
125,RHC,20,1299.8703191508673,24.0
126,RHC,20,1299.8703191508673,25.0
127,RHC,20,1299.8703191508673,26.0
128,RHC,20,1299.8703191508673,27.0
129,RHC,20,1299.8703191508673,28.0
130,RHC,20,1299.8703191508673,29.0
131,RHC,20,1299.8703191508673,30.0
132,RHC,20,1299.8703191508673,31.0
133,RHC,20,1299.8703191508673,32.0
134,RHC,20,1299.8703191508673,33.0
135,GENETIC,20,1337.551898382911,402.0
136,GENETIC,20,1340.0003306870124,604.0
137,GENETIC,20,1358.0436448587038,806.0
138,GENETIC,20,1397.068432764473,1008.0
139,GENETIC,20,1397.068432764473,1209.0
140,GENETIC,20,1397.068432764473,1410.0
141,GENETIC,20,1397.068432764473,1611.0
142,GENETIC,20,1397.068432764473,1812.0
143,GENETIC,20,1402.5020791186482,2014.0
144,GENETIC,20,1440.7171799196472,2216.0
145,GENETIC,20,1440.7171799196472,2417.0
146,GENETIC,20,1440.7171799196472,2618.0
147,GENETIC,20,1440.7171799196472,2819.0
148,GENETIC,20,1440.7171799196472,3020.0
149,GENETIC,20,1464.9562364439237,3222.0
150,GENETIC,20,1464.9562364439237,3423.0
151,GENETIC,20,1464.9562364439237,3624.0
152,GENETIC,20,1464.9562364439237,3825.0
153,GENETIC,20,1464.9562364439237,4026.0
154,GENETIC,20,1464.9562364439237,4227.0
155,GENETIC,20,1470.434492991687,4429.0
156,GENETIC,20,1470.434492991687,4630.0
157,GENETIC,20,1470.434492991687,4831.0
158,GENETIC,20,1470.434492991687,5032.0
159,GENETIC,20,1470.434492991687,5233.0
160,GENETIC,20,1470.434492991687,5434.0
161,GENETIC,20,1470.434492991687,5635.0
162,GENETIC,20,1473.4778142809703,5837.0
163,GENETIC,20,1475.7064473075552,6039.0
164,GENETIC,20,1479.2364594535757,6241.0
165,GENETIC,20,1479.2364594535757,6442.0
166,GENETIC,20,1479.2364594535757,6643.0
167,GENETIC,20,1479.2364594535757,6844.0
168,GENETIC,20,1479.2364594535757,7045.0
169,GENETIC,20,1479.2364594535757,7246.0
170,GENETIC,20,1479.2364594535757,7447.0
171,GENETIC,20,1480.2464923274474,7649.0
172,GENETIC,20,1480.2464923274474,7850.0
